"","entrezgene","gene.symbol","chromosome","description","type.of.gene","rapdb","msu"
"8903","4326853","LOC4326853","1","mitogen-activated protein kinase 8-like","protein-coding","Os01g0665200","LOC_Os01g47530"
"8904","4326854","LOC4326854","1","CTD small phosphatase-like protein 2","protein-coding","Os01g0665300","LOC_Os01g47540"
"8905","4326855","LOC4326855","1","ribokinase","protein-coding","Os01g0665400","LOC_Os01g47550"
"8906","4326856","LOC4326856","1","WRKY transcription factor WRKY24-like","protein-coding","Os01g0665500","LOC_Os01g47560"
"8907","9268670","LOC9268670","1","uncharacterized LOC9268670","protein-coding","Os01g0665900","LOC_Os01g47570"
"8908","4326857","LOC4326857","1","lipid phosphate phosphatase 2","protein-coding","Os01g0666000","LOC_Os01g47580"
"8909","4326858","LOC4326858","1","high mobility group B protein 14","protein-coding","Os01g0666200","LOC_Os01g47600"
"8910","4326860","LOC4326860","1","GDSL esterase/lipase At4g10955","protein-coding","Os01g0666400","LOC_Os01g47610"
"8911","4326861","LOC4326861","1","uncharacterized protein At4g18257","protein-coding","Os01g0666500","LOC_Os01g47620"
"8912","4326862","LOC4326862","1","uncharacterized LOC4326862","protein-coding","Os01g0666600","LOC_Os01g47630"
"8913","4326864","LOC4326864","1","protein VACUOLELESS1","protein-coding","Os01g0666800","LOC_Os01g47650"
"8914","107276912","LOC107276912","1","uncharacterized LOC107276912","protein-coding","Os01g0667000","LOC_Os01g47670"
"8915","4326318","LOC4326318","1","60S ribosomal protein L18a-like protein","protein-coding","Os01g0667100","LOC_Os01g47680"
"8916","4326319","LOC4326319","1","persulfide dioxygenase ETHE1 homolog, mitochondrial","protein-coding","Os01g0667200","LOC_Os01g47690"
"8917","4326320","LOC4326320","1","WUSCHEL-related homeobox 7-like","protein-coding","Os01g0667400","LOC_Os01g47710"
"8918","4326321","LOC4326321","1","ras-related protein RABA1f","protein-coding","Os01g0667600","LOC_Os01g47730"
"8919","4326322","LOC4326322","1","probable E3 ubiquitin-protein ligase ZFP1","protein-coding","Os01g0667700","LOC_Os01g47740"
"8920","4326324","LOC4326324","1","monothiol glutaredoxin-S5-like","protein-coding","Os01g0667900","LOC_Os01g47760"
"8921","4326325","LOC4326325","1","nudC domain-containing protein 2","protein-coding","Os01g0668000","LOC_Os01g47770"
"8922","4326326","LOC4326326","1","fasciclin-like arabinogalactan protein 11","protein-coding","Os01g0668100","LOC_Os01g47780"
"8923","4326327","LOC4326327","1","uncharacterized LOC4326327","protein-coding","Os01g0668200","None"
"8924","107278048","LOC107278048","1","putative receptor protein kinase ZmPK1","protein-coding","Os01g0668400","LOC_Os01g47810"
"8925","4326329","LOC4326329","1","putative receptor protein kinase ZmPK1","protein-coding","Os01g0668600","LOC_Os01g47820"
"8926","107276023","LOC107276023","1","putative receptor protein kinase ZmPK1","protein-coding","Os01g0668901","LOC_Os01g47840"
"8927","4326332","LOC4326332","1","putative receptor protein kinase ZmPK1","protein-coding","Os01g0669100","LOC_Os01g47900"
"8928","4326333","LOC4326333","1","putative receptor protein kinase ZmPK1","protein-coding","Os01g0670100","LOC_Os01g48000"
"8929","107277300","LOC107277300","1","putative receptor protein kinase ZmPK1","protein-coding","Os01g0670300","LOC_Os01g48020"
"8930","4326336","LOC4326336","1","putative receptor protein kinase ZmPK1","protein-coding","Os01g0670600","LOC_Os01g48040"
"8931","4325895","LOC4325895","1","auxin response factor 2-like","protein-coding","Os01g0670800","LOC_Os01g48060"
"8932","9270876","LOC9270876","1","NAC domain-containing protein 73","protein-coding","Os01g0672100","LOC_Os01g48130"
"8933","107277503","LOC107277503","1","pentatricopeptide repeat-containing protein At5g46100","protein-coding","Os01g0672166","LOC_Os01g48140"
"8934","4325898","LOC4325898","1","homeobox-DDT domain protein RLT2","protein-coding","Os01g0672201","LOC_Os01g48170"
"8935","4325899","LOC4325899","1","protein DEHYDRATION-INDUCED 19 homolog 3-like","protein-coding","Os01g0672400","LOC_Os01g48190"
"8936","4325900","LOC4325900","1","callose synthase 12","protein-coding","Os01g0672500","LOC_Os01g48200"
"8937","4325901","LOC4325901","1","non-canonical poly(A) RNA polymerase PAPD5","protein-coding","Os01g0672700","LOC_Os01g48210"
"8938","4325902","LOC4325902","1","uncharacterized LOC4325902","protein-coding","Os01g0672800","LOC_Os01g48220"
"8939","4325903","LOC4325903","1","uncharacterized LOC4325903","protein-coding","Os01g0673300","LOC_Os01g48250"
"8940","4325904","LOC4325904","1","katanin p60 ATPase-containing subunit A-like 2","protein-coding","Os01g0673500","LOC_Os01g48270"
"8941","4325905","LOC4325905","1","ubiquitin-conjugating enzyme E2 36","protein-coding","Os01g0673600","LOC_Os01g48280"
"8942","107278438","LOC107278438","1","dof zinc finger protein 5-like","protein-coding","Os01g0673700","LOC_Os01g48290"
"8943","4325906","LOC4325906","1","protein CONSERVED ONLY IN THE GREEN LINEAGE 160, chloroplastic","protein-coding","Os01g0673800","LOC_Os01g48300"
"8944","4325907","LOC4325907","1","E3 ubiquitin ligase BIG BROTHER-related","protein-coding","Os01g0673900","LOC_Os01g48310"
"8945","4325908","LOC4325908","1","trihelix transcription factor ASIL2","protein-coding","Os01g0674000","LOC_Os01g48320"
"8946","4325909","LOC4325909","1","serine/threonine-protein kinase EDR1","protein-coding","Os01g0674100","LOC_Os01g48330"
"8947","9272063","LOC9272063","1","uncharacterized LOC9272063","protein-coding","Os01g0674400","LOC_Os01g48360"
"8948","4325911","LOC4325911","1","tubby-like F-box protein 1","protein-coding","Os01g0674500","LOC_Os01g48370"
"8949","4325508","LOC4325508","1","pentatricopeptide repeat-containing protein At1g30610, chloroplastic","protein-coding","Os01g0674700","LOC_Os01g48380"
"8950","4325509","LOC4325509","1","protein MALE DISCOVERER 2","protein-coding","Os01g0674800","LOC_Os01g48390"
"8951","4325510","LOC4325510","1","rop guanine nucleotide exchange factor 9","protein-coding","Os01g0675000","LOC_Os01g48410"
"8952","4325511","LOC4325511","1","peroxiredoxin-2C-like","protein-coding","Os01g0675100","LOC_Os01g48420"
"8953","4325514","LOC4325514","1","probable glucuronosyltransferase Os01g0675500","protein-coding","Os01g0675500","LOC_Os01g48440"
"8954","4325515","LOC4325515","1","auxin-responsive protein IAA5-like","protein-coding","Os01g0675700","LOC_Os01g48444"
"8955","4325516","LOC4325516","1","NAC domain-containing protein 2","protein-coding","Os01g0675800","LOC_Os01g48446"
"8956","4325517","LOC4325517","1","proline-rich receptor-like protein kinase PERK8","protein-coding","Os01g0676200","LOC_Os01g48500"
"8957","4325520","LOC4325520","1","protein SPEAR3","protein-coding","Os01g0676900","LOC_Os01g48530"
"8958","4325521","LOC4325521","1","aldehyde oxidase GLOX1","protein-coding","Os01g0677000","LOC_Os01g48540"
"8959","4325522","LOC4325522","1","uncharacterized LOC4325522","protein-coding","Os01g0677100","LOC_Os01g48550"
"8960","9269273","LOC9269273","1","uncharacterized LOC9269273","protein-coding","Os01g0677400","LOC_Os01g48570"
"8961","107276513","LOC107276513","1","putative ubiquitin-conjugating enzyme E2 38","protein-coding","Os01g0677500","LOC_Os01g48580"
"8962","4325269","LOC4325269","1","uncharacterized LOC4325269","protein-coding","Os01g0678000","LOC_Os01g48620"
"8963","4325270","LOC4325270","1","uncharacterized LOC4325270","protein-coding","Os01g0678100","LOC_Os01g48640"
"8964","4325271","LOC4325271","1","uncharacterized LOC4325271","protein-coding","Os01g0678400","LOC_Os01g48660"
"8965","4325272","LOC4325272","1","two pore calcium channel protein 1-like","protein-coding","Os01g0678500","LOC_Os01g48680"
"8966","4325273","LOC4325273","1","30S ribosomal protein S20, chloroplastic","protein-coding","Os01g0678600","LOC_Os01g48690"
"8967","4325274","LOC4325274","1","transcription factor-like protein DPB","protein-coding","Os01g0678700","LOC_Os01g48700"
"8968","4325275","LOC4325275","1","heavy metal-associated isoprenylated plant protein 4","protein-coding","Os01g0678800","LOC_Os01g48710"
"8969","4325277","LOC4325277","1","uncharacterized LOC4325277","protein-coding","Os01g0679000","LOC_Os01g48720"
"8970","4325280","LOC4325280","1","aspartic proteinase NANA, chloroplast","protein-coding","Os01g0679500","LOC_Os01g48740"
"8971","4325281","LOC4325281","1","UPF0678 fatty acid-binding protein-like protein At1g79260","protein-coding","Os01g0679600","LOC_Os01g48760"
"8972","4325282","LOC4325282","1","60S ribosomal protein L37a-1-like","protein-coding","Os01g0679700","LOC_Os01g48770"
"8973","4325283","LOC4325283","1","YTH domain-containing family protein 2","protein-coding","Os01g0679900","LOC_Os01g48790"
"8974","4325285","LOC4325285","1","probable purine permease 4","protein-coding","Os01g0680200","LOC_Os01g48800"
"8975","4325286","LOC4325286","1","transcription initiation factor TFIID subunit 11","protein-coding","Os01g0680400","LOC_Os01g48810"
"8976","4324388","LOC4324388","1","uncharacterized LOC4324388","protein-coding","Os01g0680600","LOC_Os01g48820"
"8977","4324389","LOC4324389","1","putative protein TPRXL","protein-coding","Os01g0680700","LOC_Os01g48830"
"8978","4324390","LOC4324390","1","cytochrome b561 and DOMON domain-containing protein At3g61750","protein-coding","Os01g0680900","LOC_Os01g48850"
"8979","4324391","LOC4324391","1","O-acyltransferase WSD1","protein-coding","Os01g0681000","LOC_Os01g48874"
"8980","9269791","LOC9269791","1","dynamin-related protein 5A","protein-coding","Os01g0681100","LOC_Os01g48900"
"8981","4324393","LOC4324393","1","long chain acyl-CoA synthetase 4","protein-coding","Os01g0681200","LOC_Os01g48910"
"8982","4324394","LOC4324394","1","beclin-1-like protein","protein-coding","Os01g0681400","LOC_Os01g48920"
"8983","4324395","LOC4324395","1","replication stress response regulator SDE2","protein-coding","Os01g0681600","LOC_Os01g48930"
"8984","4324396","LOC4324396","1","uncharacterized LOC4324396","protein-coding","Os01g0681700","LOC_Os01g48940"
"8985","4324397","LOC4324397","1","uncharacterized LOC4324397","protein-coding","Os01g0681800","LOC_Os01g48950"
"8986","4324398","LOC4324398","1","glutamate synthase 1 [NADH], chloroplastic-like","protein-coding","Os01g0682001","LOC_Os01g48960"
"8987","4324399","LOC4324399","1","glycosylphosphatidylinositol anchor attachment 1 protein","protein-coding","Os01g0682200","LOC_Os01g48980"
"8988","4324401","LOC4324401","1","D-glycerate 3-kinase, chloroplastic","protein-coding","Os01g0682500","LOC_Os01g48990"
"8989","4324404","LOC4324404","1","katanin p60 ATPase-containing subunit A1","protein-coding","Os01g0683100","LOC_Os01g49000"
"8990","4324139","LOC4324139","1","origin of replication complex subunit 4-like","protein-coding","Os01g0683400","LOC_Os01g49010"
"8991","9271420","LOC9271420","1","CDP-diacylglycerol--serine O-phosphatidyltransferase 3-like","protein-coding","Os01g0683550","LOC_Os01g49024"
"8992","4324140","LOC4324140","1","ER membrane protein complex subunit 6","protein-coding","Os01g0683600","LOC_Os01g49026"
"8993","9268603","LOC9268603","1","uncharacterized LOC9268603","protein-coding","Os01g0683700","LOC_Os01g49030"
"8994","4324143","LOC4324143","1","protein prenyltransferase alpha subunit repeat-containing protein 1-B","protein-coding","Os01g0684800","LOC_Os01g49110"
"8995","4324144","LOC4324144","1","protein DETOXIFICATION 12","protein-coding","Os01g0684900","LOC_Os01g49120"
"8996","4324146","LOC4324146","1","probable histone chaperone ASF1A","protein-coding","Os01g0685200","LOC_Os01g49150"
"8997","9268190","LOC9268190","1","transcription factor MYB4-like","protein-coding","Os01g0685400","LOC_Os01g49160"
"8998","4324149","LOC4324149","1","DNA ligase 6","protein-coding","Os01g0685500","LOC_Os01g49180"
"8999","4324151","LOC4324151","1","ATP synthase subunit beta, mitochondrial-like","protein-coding","Os01g0685800","LOC_Os01g49190"
"9000","4324106","LOC4324106","1","65-kDa microtubule-associated protein 3","protein-coding","Os01g0685900","LOC_Os01g49200"
"9001","4324107","LOC4324107","1","uncharacterized LOC4324107","protein-coding","Os01g0686000","LOC_Os01g49210"
"9002","4324110","LOC4324110","1","gallate 1-beta-glucosyltransferase","protein-coding","Os01g0686300","LOC_Os01g49240"
"9003","4324111","LOC4324111","1","EEF1A lysine methyltransferase 2","protein-coding","Os01g0686400","LOC_Os01g49250"
"9004","4324112","LOC4324112","1","uncharacterized LOC4324112","protein-coding","Os01g0686500","LOC_Os01g49260"
"9005","9269132","LOC9269132","1","uncharacterized LOC9269132","protein-coding","Os01g0686700","LOC_Os01g49280"
"9006","4324115","LOC4324115","1","guanine nucleotide-binding protein subunit beta-like protein A","protein-coding","Os01g0686800","LOC_Os01g49290"
"9007","4324116","LOC4324116","1","uncharacterized LOC4324116","protein-coding","Os01g0687300","LOC_Os01g49310"
"9008","4324117","LOC4324117","1","acidic endochitinase","protein-coding","Os01g0687400","LOC_Os01g49320"
"9009","4324118","LOC4324118","1","methionyl-tRNA formyltransferase","protein-coding","Os01g0687500","LOC_Os01g49330"
"9010","4324119","LOC4324119","1","serine/arginine repetitive matrix protein 2","protein-coding","Os01g0687600","LOC_Os01g49340"
"9011","4327935","LOC4327935","1","IST1 homolog","protein-coding","Os01g0687700","LOC_Os01g49350"
"9012","4327936","LOC4327936","1","L-gulonolactone oxidase 3","protein-coding","Os01g0687800","LOC_Os01g49360"
"9013","4327939","LOC4327939","1","caffeoylshikimate esterase","protein-coding","Os01g0688200","LOC_Os01g49380"
"9014","107278247","LOC107278247","1","adenylate isopentenyltransferase","protein-coding","Os01g0688300","LOC_Os01g49390"
"9015","4327940","LOC4327940","1","predicted GPI-anchored protein 58","protein-coding","Os01g0688600","LOC_Os01g49410"
"9016","107275844","LOC107275844","1","heat shock cognate 70 kDa protein","protein-coding","Os01g0688900","LOC_Os01g49430"
"9017","4327943","LOC4327943","1","ubiquitin carboxyl-terminal hydrolase 51","protein-coding","Os01g0689000","LOC_Os01g49440"
"9018","107275379","LOC107275379","1","uncharacterized LOC107275379","protein-coding","Os01g0689200","LOC_Os01g49460"
"9019","4327944","LOC4327944","1","zinc finger protein BRUTUS","protein-coding","Os01g0689451","LOC_Os01g49470"
"9020","4327945","LOC4327945","1","uncharacterized LOC4327945","protein-coding","Os01g0689600","LOC_Os01g49490"
"9021","4327946","LOC4327946","1","alpha/beta hydrolase domain-containing protein 17B","protein-coding","Os01g0689800","LOC_Os01g49510"
"9022","4327947","LOC4327947","1","LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2","protein-coding","Os01g0689900","LOC_Os01g49529"
"9023","4327950","LOC4327950","1","LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.7","protein-coding","Os01g0690600","LOC_Os01g49580"
"9024","4327951","LOC4327951","1","acidic endochitinase SE2","protein-coding","Os01g0690800","LOC_Os01g49614"
"9025","4325636","LOC4325636","1","non-specific lipid-transfer protein 2","protein-coding","Os01g0691100","LOC_Os01g49640"
"9026","4325638","LOC4325638","1","non-specific lipid-transfer protein 2","protein-coding","Os01g0691300","LOC_Os01g49650"
"9027","9272248","LOC9272248","1","reticulon-like protein B9","protein-coding","Os01g0691400","LOC_Os01g49660"
"9028","4325639","LOC4325639","1","uncharacterized LOC4325639","protein-coding","Os01g0691500","LOC_Os01g49670"
"9029","4325640","LOC4325640","1","general transcription and DNA repair factor IIH helicase subunit XPB1","protein-coding","Os01g0691600","LOC_Os01g49680"
"9030","4325641","LOC4325641","1","phytochrome-associated serine/threonine-protein phosphatase","protein-coding","Os01g0691700","LOC_Os01g49690"
"9031","4325642","LOC4325642","1","probable glutathione S-transferase GSTU6","protein-coding","Os01g0692000","LOC_Os01g49710"
"9032","4325643","LOC4325643","1","probable glutathione S-transferase GSTU6","protein-coding","Os01g0692100","LOC_Os01g49720"
"9033","4325645","LOC4325645","1","protein PLASTID MOVEMENT IMPAIRED 2","protein-coding","Os01g0692300","LOC_Os01g49740"
"9034","4325647","LOC4325647","1","uncharacterized LOC4325647","protein-coding","Os01g0692600","LOC_Os01g49760"
"9035","9269271","LOC9269271","1","E3 ubiquitin-protein ligase arkadia","protein-coding","Os01g0692700","LOC_Os01g49770"
"9036","107275900","LOC107275900","1","uncharacterized LOC107275900","protein-coding","Os01g0693100","LOC_Os01g49810"
"9037","4325649","LOC4325649","1","lipid phosphate phosphatase 2","protein-coding","Os01g0693300","LOC_Os01g49820"
"9038","4325650","LOC4325650","1","AP2/ERF and B3 domain-containing protein Os01g0693400-like","protein-coding","Os01g0693400","LOC_Os01g49830"
"9039","4325651","LOC4325651","1","threonine synthase, chloroplastic","protein-coding","Os01g0693800","LOC_Os01g49890"
"9040","4323881","LOC4323881","1","peptidyl-tRNA hydrolase, mitochondrial-like","protein-coding","Os01g0693900","LOC_Os01g49900"
"9041","4323882","LOC4323882","1","probable LRR receptor-like serine/threonine-protein kinase At3g47570","protein-coding","Os01g0694000","LOC_Os01g49910"
